"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl","Symbol","AK10","AK11","AK12","AK13","AK1","AK2","AK3","AK4","AK5","AK6","AK7","AK9","BK10","BK13","BK1","BK2","BK3","BK4","BK5","BK6","BK7","BK8","BK9"
"17176","ENSMUSG00000066258 - Trim12a",101.735555955836,8.89198558000334,0.59677478775277,14.9000691089636,3.29238784037115e-50,8.56752480238803e-48,"ENSMUSG00000066258"," Trim12a",0,0,0.827858995102406,0,1.2271009569193,2.4836452151707,0,0,0.920747788534662,0,0,0,182.298073820901,214.635285051153,245.849370464301,212.689862724422,244.554660022811,211.144495979321,136.518648553672,224.026941802113,268.158736606506,177.79190481757,216.790454185741
"13431","ENSMUSG00000047104 - Pbp2",26.6428578058496,8.16398919488636,0.639555715083498,12.7650945841685,2.56838485121517e-37,4.43222118429699e-35,"ENSMUSG00000047104"," Pbp2",0,0,0,0,0,0,0,0,0,0,0,0,48.5409072304174,53.9038387114767,32.9683063841016,30.0060387246073,35.244642179758,21.9743140611963,84.1864999414309,57.0634663080854,104.931679541676,67.1658307088597,76.8002057429305
"20945","ENSMUSG00000093896 - Ighv1-76",64.1330199508087,7.44810964204763,0.89203549891564,8.34956641423079,6.85140123328109e-17,4.25461635675796e-15,"ENSMUSG00000093896"," Ighv1-76",1.0356720305451,0,0.827858995102406,0,1.2271009569193,0,0,2.96741881466197,0,0,0,2.84724537475784,167.196458238104,48.023419942952,719.65103078439,16.7680804637511,34.5253637679262,67.8337521019537,39.4387206932829,16.9076937209142,319.652986751958,11.8527936545046,24.3038625768767
"11035","ENSMUSG00000038793 - Lefty1",15.040787876967,7.08559525199162,0.608947696851351,11.6358026947613,2.71028355522701e-31,3.58325714551545e-29,"ENSMUSG00000038793"," Lefty1",0,0,0,0,0,0,0,0,0,0,1.22378141314859,0,34.5179784749635,31.3622334321319,31.084403162153,21.1807332173699,20.1397955312903,41.0824132448452,28.8206035835529,35.9288491569427,30.1192783869626,30.6197169408037,39.8583346260779
"20510","ENSMUSG00000091618 - H60c",11.001752830791,6.89051304993035,0.653409462248509,10.5454748485257,5.33029088159193e-26,5.5306828299252e-24,"ENSMUSG00000091618"," H60c",0,0,0,0,0,0,0,0,0,0,0,0,42.0687862663617,10.7807677422953,32.9683063841016,30.0060387246073,27.3325796496083,14.3310743877367,28.0621666471436,14.7942320057999,31.0908680123485,13.8282592635888,7.77723602460056
"17676","ENSMUSG00000069917 - Hba-a2",9.48747960704434,6.67495746394583,0.642775819993051,10.3845808388032,2.91446707417036e-25,2.87829959120174e-23,"ENSMUSG00000069917"," Hba-a2",0,0,0,0,0,0,0,0,0,0,0,0,17.2589892374817,10.7807677422953,15.0712257755893,29.1235081738835,10.789176177477,36.305388448933,24.2699819650972,19.0211554360285,13.6022547554025,11.8527936545046,30.1367895953272
"21131","ENSMUSG00000094652 - Ighv1-42",8.30012560843323,6.48014970886259,0.727322410318976,8.90959719778281,5.12183033898958e-19,3.69899940869582e-17,"ENSMUSG00000094652"," Ighv1-42",0,0,0,0,0,0,0,0,0,0,0,0,12.9442419281113,37.2426522006566,413.516757217732,1.76506110144749,18.7012387076267,45.8594380407575,10.61811710973,20.0778862935856,18.4602028823319,6.91412963179438,13.610163043051
"21307","ENSMUSG00000095416 - Ighv1-12",41.4059165788913,6.28603378539658,0.764953973424353,8.21753203955114,2.07733750224115e-16,1.21628110756219e-14,"ENSMUSG00000095416"," Ighv1-12",0,0,5.79501296571684,0.889655400198772,0,0,0,0,0,5.30440362012831,0,0.949081791585948,16.1803024101391,9.80069794754121,16.955128997538,295.647734492454,104.295369715611,144.26614883655,61.4333918491523,86.6519303196853,70.9260426531701,65.1903650997755,68.0508152152549
"10341","ENSMUSG00000037053 - Azgp1",8.18491806620143,5.96566682752228,0.630611095319579,9.4601361628422,3.07542463937074e-21,2.4594395872119e-19,"ENSMUSG00000037053"," Azgp1",0,0.956106392613357,0,0,0,0,1.22728370541571,0,0,0,0,0,18.3376760648243,22.5416052793448,15.0712257755893,32.6536303767785,12.2277330011405,13.3756694285543,18.2024864738229,12.6807702906856,12.6306651300166,9.87732804542054,18.4709355584263
"7087","ENSMUSG00000029307 - Dmp1",14.241113476359,5.80487772889145,0.600526932379631,9.66630706451284,4.19233628693346e-22,3.45372668783855e-20,"ENSMUSG00000029307"," Dmp1",0,0,1.65571799020481,0,0,0,0,0,0,1.32610090503208,1.22378141314859,1.8981635831719,21.5737365468522,43.1230709691813,18.8390322194866,39.7138747825685,38.841034238917,15.2864793469192,28.0621666471436,35.9288491569427,29.1476887615768,23.7055873090093,27.220326086102
