"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu05150","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)",47,-0.852263254524122,-2.28822225216213,1.1366031253905e-09,3.79625443880428e-07,3.39784513274635e-07,1010,"tags=62%, list=7%, signal=57%","Itgam/Fcgr1/H2-Eb1/C1qb/C1qa/Itgb2/Masp1/Ptafr/C4b/C1qc/Selplg/C1ra/H2-DMb1/C2/Itgal/H2-Ab1/Selp/H2-DMa/C3/H2-Ob/H2-Aa/H2-Eb2/C4a/H2-DMb2/Masp2/C1s2/C1rb/Defa30/Defa24"
"mmu04640","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)",66,-0.761873918341222,-2.17385363135187,2.11618351931129e-07,3.53402647724986e-05,3.16313747097056e-05,1362,"tags=55%, list=10%, signal=49%","Csf1/Cd9/Cd5/Il7r/Cd38/Itgam/Il3ra/Fcgr1/Il4ra/H2-Eb1/Cd59a/Csf1r/Cd2/H2-DMb1/Cd55/Cd4/H2-Ab1/Thpo/Cd37/Flt3/H2-DMa/Ms4a1/Cr2/Cd33/Cd22/Tnf/Flt3l/Cd19/H2-Ob/H2-Aa/Csf3r/H2-Eb2/Il1r2/Fcer2a/Il1b/H2-DMb2"
"mmu04672","mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)",32,-0.859259275741973,-2.17979812357235,6.31785392877229e-07,7.03387737403315e-05,6.29568602025029e-05,1503,"tags=81%, list=11%, signal=73%","Cxcl12/Tgfb1/Icosl/Tnfsf13/Pigr/Itgb7/H2-Eb1/Tnfrsf17/Ccl28/Madcam1/Cd28/Tnfsf13b/H2-DMb1/Icos/H2-Ab1/Ccr10/Cxcr4/Cd40/Cd86/H2-DMa/Tnfrsf13b/Tnfrsf13c/H2-Ob/H2-Aa/H2-Eb2/H2-DMb2"
"mmu05322","mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)",54,-0.780473874534073,-2.15614112587298,1.67695318454704e-06,0.000140025590909678,0.000125330185371411,1307,"tags=52%, list=9%, signal=47%","H2aj/Fcgr3/H3c15/Fcgr1/H2-Eb1/C1qb/C1qa/C4b/C1qc/Cd28/C1ra/H2-DMb1/C2/C6/H2-Ab1/Cd40/Cd86/H4c14/H2-DMa/Tnf/C3/H2-Ob/H2-Aa/H2-Eb2/C4a/H2-DMb2/C1s2/C1rb"
"mmu05323","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)",61,-0.730232821577041,-2.05977718912242,1.48625548395335e-05,0.000992818663280838,0.000888624331458425,1629,"tags=49%, list=12%, signal=44%","Tlr4/Cxcl12/Ctla4/Csf1/Icam1/Tgfb1/Tnfrsf11a/Atp6v0b/Tnfsf13/Ctsk/H2-Eb1/Itgb2/Cd28/Tnfsf13b/H2-DMb1/Itgal/H2-Ab1/Tlr2/Cd86/Ltb/H2-DMa/Atp6v0e2/Ccl2/Tnf/H2-Ob/H2-Aa/H2-Eb2/Il1b/H2-DMb2/Mmp3"
"mmu05140","mmu05140","Leishmaniasis - Mus musculus (house mouse)",62,-0.714181677869195,-2.02603068386933,3.58537412082586e-05,0.00199585826059306,0.00178639693037639,1333,"tags=39%, list=10%, signal=35%","Tgfb1/Fcgr3/Ptgs2/Marcksl1/Mapk13/Itgam/Fcgr1/H2-Eb1/Itgb2/Cybb/H2-DMb1/Ncf1/H2-Ab1/Tlr2/H2-DMa/Tnf/Ncf4/C3/H2-Ob/H2-Aa/H2-Eb2/Il1b/Nos2/H2-DMb2"
"mmu05152","mmu05152","Tuberculosis - Mus musculus (house mouse)",139,-0.596766479475366,-1.85952369296862,5.87765292140414e-05,0.00280448010821283,0.00251015553335154,1424,"tags=26%, list=10%, signal=23%","Mrc1/Fcer1g/Tgfb1/Fcgr3/Fcgr2b/Il10ra/Tlr9/Lsp1/Atp6v0b/Mapk13/Itgax/Itgam/Fcgr1/H2-Eb1/Card9/Itgb2/Coro1a/H2-DMb1/H2-Ab1/Lbp/Calml4/Tlr2/Cd209a/H2-DMa/Clec7a/Tlr6/Tnf/C3/Cd74/H2-Ob/Ciita/H2-Aa/H2-Eb2/Il1b/Nos2/H2-DMb2"
"mmu05310","mmu05310","Asthma - Mus musculus (house mouse)",13,-0.910329711739541,-1.99927253611313,7.6388077876623e-05,0.00318920225134901,0.00285450185749486,876,"tags=85%, list=6%, signal=79%","H2-Eb1/Ccl11/H2-DMb1/H2-Ab1/Cd40/H2-DMa/Tnf/H2-Ob/H2-Aa/H2-Eb2/H2-DMb2"
"mmu05321","mmu05321","Inflammatory bowel disease - Mus musculus (house mouse)",39,-0.760906068635676,-1.97684833909103,9.91356212192791e-05,0.00344591787679205,0.00308427569180252,1648,"tags=51%, list=12%, signal=45%","Ifngr2/Tlr4/Il12rb1/Tgfb1/Il21r/Il4ra/H2-Eb1/Il2rg/Gata3/H2-DMb1/H2-Ab1/Tlr2/H2-DMa/Il18rap/Tnf/H2-Ob/H2-Aa/H2-Eb2/Il1b/H2-DMb2"
"mmu04621","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)",150,-0.565896679980275,-1.77543282505648,0.00010317119391593,0.00344591787679205,0.00308427569180252,2210,"tags=25%, list=16%, signal=22%","Ikbke/Gabarapl1/Rnasel/Myd88/Nfkbia/Tbk1/Gsdmd/Stat1/Irgm2/Trpv2/Aim2/Tlr4/Stat2/Pstpip1/Txn1/Irgm1/Oas1b/Ripk3/Oas1a/Oas2/Casp4/Mapk13/Card9/Cybb/Mefv/Oas1g/Gbp3/Gbp5/Gbp7/Gpsm3/Sting1/Trpm2/Ccl2/Tnf/Il1b/Gbp2b/Defa30/Defa24"
"mmu05133","mmu05133","Pertussis - Mus musculus (house mouse)",62,-0.694641065792039,-1.97059677835662,0.000141365812130094,0.0042923801137683,0.00384190341099968,1055,"tags=34%, list=8%, signal=31%","Tlr4/Irf1/C4bp/Irf8/Mapk13/Itgam/C1qb/C1qa/Itgb2/C4b/C1qc/C1ra/C2/Calml4/Tnf/C3/C4a/Il1b/Nos2/C1s2/C1rb"
"mmu04145","mmu04145","Phagosome - Mus musculus (house mouse)",135,-0.565032524303443,-1.76004124440336,0.000204980679600443,0.00570529558221232,0.0051065362286426,1424,"tags=31%, list=10%, signal=28%","Mrc1/Tubb5/H2-D1/Fcgr3/Fcgr2b/Rilp/Atp6v0b/H2-T3/Itgam/Fcgr1/Tap1/H2-Eb1/Itgb2/Coro1a/Cybb/C1ra/H2-DMb1/Ncf1/Tap2/H2-Ab1/Tlr2/H2-Q1/Cd209a/Gm8909/H2-DMa/Msr1/Atp6v0e2/Clec7a/Tlr6/Ncf4/C3/H2-Ob/H2-Q4/H2-Aa/H2-Eb2/H2-M2/H2-T-ps/H2-T10/H2-DMb2/H2-Bl/Gm11127/C1rb"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)",149,-0.563060156152865,-1.76794861357186,0.000222408625228303,0.0057141908327887,0.00511449794047271,1503,"tags=42%, list=11%, signal=38%","Cxcl12/Tnfrsf25/Tnfrsf1b/Tnfrsf4/Csf1/Tgfb1/Lifr/Tnfrsf11a/Il10ra/Il7r/Il21r/Bmp4/Inhbb/Tnfsf13/Ctf1/Tnfrsf11b/Cxcl16/Il3ra/Il4ra/Fas/Tnfrsf17/Il16/Ccl28/Il2rg/Csf1r/Crlf2/Ccr2/Cx3cr1/Tnfsf13b/Ccl11/Ccr1/Lif/Il33/Il34/Cd4/Csf2rb/Il1rn/Thpo/Ccr10/Cd27/Relt/Cxcr4/Cd40/Ccl22/Inhba/Ltb/Cxcl10/Cxcl14/Ccl8/Ccr7/Tnfrsf13b/Il18rap/Ccl2/Cxcl13/Cxcr5/Tnfsf10/Cxcl9/Tnf/Tnfrsf13c/Xcr1/Csf3r/Il1r2/Il1b"
"mmu04610","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)",52,-0.693698371850786,-1.89906379187345,0.000251550291637029,0.00600127124334054,0.00537144983645986,1517,"tags=48%, list=11%, signal=43%","F2rl3/C4bp/F2r/Vtn/Itgax/Itgam/C1qb/C1qa/Itgb2/Procr/Cd59a/Masp1/C4b/C1qc/C1ra/Cd55/C2/C6/Clu/Cr2/C3/C4a/Masp2/C1s2/C1rb"
