"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN",164,-0.666845407028713,-2.12719343468801,6.35168625596888e-09,3.23554897879055e-05,3.12770403214973e-05,1377,"tags=35%, list=10%, signal=32%","B4galt1/Irf8/Ddah2/Dtx4/Fcgr2b/Rab31/Paox/Pirb/H2-Eb1/Ighm/Sh2b2/Tnfrsf17/Ly86/Spib/Snrnp25/Gm2a/Cybb/Shmt2/Rnase6/Btk/H2-DMb1/Cd180/Rasgrp3/Slc2a6/Irag2/H2-Ab1/Marchf1/Cd37/Fgr/Igkv8-27/Kmo/Tbc1d9/Cd40/Cd86/Lat2/Eaf2/Atp10d/Cd79b/H2-DMa/Igha/Scpep1/Jchain/Mzb1/Ms4a1/Cd22/Igkc/Cd79a/Cd19/Blk/Pax5/Cd74/H2-Ob/H2-Aa/Igkv8-30/Pou2af1/Igkv8-21/Fcer2a/Vpreb3"
"GSE10325_CD4_TCELL_VS_BCELL_DN","GSE10325_CD4_TCELL_VS_BCELL_DN","GSE10325_CD4_TCELL_VS_BCELL_DN",165,-0.648025646771474,-2.07125577164811,5.49196992208517e-08,0.000139880473915509,0.000135218080502708,965,"tags=33%, list=7%, signal=31%","Lmo2/Entpd1/H2-Eb1/Ighm/Sh2b2/Irf5/Ly86/Spib/Gm2a/Lyl1/Cybb/Shmt2/Rnase6/Btk/H2-DMb1/Cd180/Rasgrp3/Slc2a6/Irag2/H2-Ab1/Marchf1/Sp140/Igkv8-27/Kmo/Tbc1d9/Slc15a3/Cd40/Lat2/Eaf2/Atp10d/Cd79b/H2-DMa/Irf4/Igha/Scpep1/Jchain/Mzb1/Ms4a1/Cxcr5/Cr2/Cd22/Igkc/Cd79a/Cd19/Blk/Pax5/H2-Ob/Ciita/H2-Aa/Igkv8-30/Pou2af1/Igkv8-21/Fcer2a/Vpreb3"
"GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP","GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP","GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP",170,-0.614653419453317,-1.97733297275396,2.60608465261153e-06,0.00265507904408062,0.00256658189577194,1105,"tags=23%, list=8%, signal=21%","Bach2/Ets1/Myc/Sp100/Rhoh/Il4ra/Ighm/Sp110/Ikzf3/Rasgrp3/Gpr18/Cd37/Sp140/Igkv8-27/Kmo/Spon1/Eaf2/Ltb/Cd79b/Tnfrsf13b/Jchain/Mzb1/Ms4a1/Cxcr5/Cd22/Ppp1r16b/Igkc/Cd79a/Cd19/Blk/Pax5/Igkv8-30/Pou2af1/Igkv8-21/Fcmr/Fcer2a/Vpreb3/Ighg3/Ighg2b"
"GSE29618_BCELL_VS_MONOCYTE_UP","GSE29618_BCELL_VS_MONOCYTE_UP","GSE29618_BCELL_VS_MONOCYTE_UP",161,-0.609487775557346,-1.93412967075711,2.46270387129644e-06,0.00265507904408062,0.00256658189577194,1434,"tags=25%, list=10%, signal=23%","Parp1/Ighg2c/Cd47/Aff3/Slc35f2/Arhgap25/Bach2/Ets1/Myc/Il4ra/Ighm/Shmt2/Tent5c/Rasgrp3/Cd37/Sp140/Igkv8-27/Cxcr4/Ltb/Map4k1/Cd79b/H4c14/Ccr7/Tnfrsf13b/Jchain/Ms4a1/Cxcr5/Cd22/Ppp1r16b/Igkc/Cd79a/Cd19/Pax5/H2-Ob/Igkv8-30/Pou2af1/Igkv8-21/Fcmr/Fcer2a/Ighg3/Ighg2b"
"GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP",183,-0.597147012097629,-1.93309374702515,1.61039493328783e-06,0.00265507904408062,0.00256658189577194,2794,"tags=51%, list=20%, signal=42%","Fxn/Gmppa/Mrc2/Gpm6b/Fez2/Ada/Efemp2/Erg/Edem1/Plin2/Slc11a1/Ifnar2/P2ry6/Lair1/Sqor/Kiss1r/Fads1/Rcn3/Blvrb/Ms4a8a/Stat1/Galns/Idnk/Adamts2/Pcolce/Ppp1r18/Erlec1/Serping1/Phc2/Ctsc/Faap24/Trpv2/Hpse/Col6a1/Lum/F2rl3/Irf1/Oaf/Ly9/Irf8/Tgfb1/Vsir/Lsp1/Dcn/Gpx3/Card11/Slc16a12/Dram1/Col3a1/Fermt3/Col5a2/Itgam/Lmo2/Rnf144a/Tifa/Sash3/C1qb/B2m/Cpa6/Myo1g/Slc25a45/Nckap1l/Myo1f/Tyrobp/Arhgdib/Ecscr/Hcst/C4b/C1qc/Selplg/Rtn4rl2/Arhgap30/Gbp7/Gpsm3/Serpina3c/Smpdl3b/Nfam1/Ms4a6c/Spon1/Psmb9/H2-DMa/Aif1/Tnfrsf13b/Ifi27l2a/Cxcl9/Ncf4/Serpina3n/Apobr/Tifab/Timp1/Apol6/Cpxm1/Ubd/C1rb"
"GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN","GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN","GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN",132,-0.627792295990398,-1.96026819833989,3.53308789228994e-06,0.00299959162055416,0.00289961143160216,1887,"tags=50%, list=14%, signal=44%","Casp7/Nr4a2/Blvrb/Gsdmd/Cxcr6/Rgs16/Serping1/Ptpn6/Rasgrp1/Aim2/Cd69/Gpr68/Fli1/Hap1/Gimap6/Tnfrsf1b/Traf1/Slc43a3/Gadd45b/Lsp1/Dram1/Il21r/Socs1/Casp4/Itgb7/Gadd45g/Rhoh/Bin2/Nfkbie/Sash3/Gpr171/Sh2b2/Myo1g/Rac2/Ikzf3/Ifitm1/Itgb2/Coro1a/Pim1/Cd2/Selplg/Cd53/Icos/Itgal/Il1rn/Pla2g7/Lilrb4b/Apod/Srgn/Runx2/Havcr2/Cd300lf/Hcar2/Ifi44/Tigit/Ccr7/Il18rap/Tnf/Ncf4/Cd74/Pla2g4c/Apol6/1600014C10Rik/Ubd/Lcn2/Slpi"
"GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_DN","GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_DN","GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_DN",190,-0.581499189616643,-1.89301186648691,5.67117700608675e-06,0.0041269965241437,0.00398943850142463,2107,"tags=40%, list=15%, signal=34%","Stat1/Znfx1/Uba7/St6galnac4/Mitd1/Clic4/Irgm2/Vmp1/Tmem140/Ctsc/Tapbpl/Stat2/Irgm1/Mif/Cd274/Jak3/Trafd1/Noc4l/Psmb10/Fcer1g/Eif2s2/Oas1a/Zbp1/Marcksl1/Dram1/Cmpk2/Oas2/Laptm4b/Lgals9/Socs1/Casp4/Usb1/Myc/Upp1/Cxcl16/Tap1/Gk/Tifa/Nfkbie/Samsn1/Ube2l6/Dhx58/Procr/Cybb/Mefv/Oas1g/Tap2/Gbp7/Apod/Usp18/Batf/Fgr/Themis2/Clec4n/Cd40/Mov10/Socs3/Cd86/Ltb4r1/Psmb9/Psmb8/Hcar2/Ifi44/Ccr7/Slamf8/Cxcl9/Tnf/Ifit2/Lrg1/Tor3a/Timp1/Hdc/1600014C10Rik/Sell/Lcn2/Hp"
"GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP","GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP","GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP",174,-0.592808812017309,-1.90963797653977,9.2424489441135e-06,0.00428009408375584,0.00413743312541273,2005,"tags=34%, list=14%, signal=30%","Heg1/Rab27a/Csf2rb2/Serping1/Clic1/Ddx23/Homer2/Cd69/Sbno2/Trim26/Stat2/Lcp2/Irf1/Trafd1/Mrc1/Irf8/Icam1/Gadd45b/Isg15/Cd47/Oas1a/Vamp5/Il10ra/Oas2/Xaf1/Dusp5/Socs1/Casp4/Sp100/Il3ra/Fcgr1/Ido1/Bcl2l11/Tap1/Gk/Plek/C1qb/Sp110/Ube2l6/Sh2b2/Sectm1a/Ifitm1/Pim1/Ccl11/Oas1g/Tap2/Tnfaip2/Batf/Socs3/Cd86/Cxcl10/Irf4/Ifi44/Tnfsf10/Cxcl9/Tnf/Ifit2/Mx2/Ciita/Ifi44l"
"GSE10325_BCELL_VS_MYELOID_UP","GSE10325_BCELL_VS_MYELOID_UP","GSE10325_BCELL_VS_MYELOID_UP",172,-0.591350184268066,-1.90289749389287,7.28649576323808e-06,0.00428009408375584,0.00413743312541273,2014,"tags=32%, list=15%, signal=28%","Rpsa/Rpa2/Cd72/Pim2/Tctn1/Oxct1/Pde4b/Rasgrp1/Htra2/Fbl/Parp1/Ly9/Skap1/Prps1/Rpa3/Itgb7/Bach2/Mapk13/Rhoh/Acap1/Il4ra/Ighm/Il16/Ubiad1/Spib/Shmt2/Rasgrp3/Gpr18/Cd27/Sp140/Igkv8-27/Eaf2/Ltb/Map4k1/Cd79b/Ccr7/Jchain/Mzb1/Ms4a1/Cxcr5/Cr2/Cd22/Hdhd3/Ppp1r16b/Igkc/Cd79a/Cd19/Pax5/H2-Ob/Igkv8-30/Pou2af1/Igkv8-21/Fcmr/Fcer2a/Vpreb3"
"GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN","GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN","GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN",197,-0.578995099359185,-1.89177124087327,8.51880407145122e-06,0.00428009408375584,0.00413743312541273,1434,"tags=27%, list=10%, signal=24%","Parp1/Dpp7/Cnn3/Nucb2/Irf8/Rasd1/Fcgr2b/Il10ra/Atp6v0b/Sipa1/Lmo2/Iglc1/H2-Eb1/Ighm/Iglc2/Irf5/Ly86/Spib/Gm2a/Cnr2/Lyl1/Apoe/Btk/Pld4/H2-DMb1/Cd93/Irag2/Pla2g7/Fcrla/Cd37/Adrb2/Cxcr4/Cd40/Lat2/Cd79b/Napsa/Irf4/Ms4a1/Cxcr5/Plbd1/Cr2/Cd22/Ncf4/Mx2/Cd19/Blk/Tor3a/H2-Ob/Ciita/H2-Aa/Pou2af1/Fcer2a/C1rb"
