"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002377","GO:0002377","immunoglobulin production",180,-0.637787062286725,-2.63684782019451,2.41112249144715e-17,1.41581112697777e-13,1.21748995699705e-13,1291,"tags=33%, list=9%, signal=31%","Lax1/H2-DMa/Igkv9-124/Parp3/Cd40/Igkv4-55/Il27ra/Card11/Fcgr2b/Igkv6-23/Igkv8-21/Cd37/Igkv4-72/Igkv2-112/Ptprc/Igkv8-24/Igkv10-96/Rif1/Igkv4-80/Il33/Atm/Igkv6-25/Btk/Igkv4-79/Igkv6-32/Igkv4-68/Pou2f2/Tlr9/Il7r/Igkv4-91/Igkv12-44/Igkv8-30/Igkv6-17/Igkv4-50/H2-Aa/Cd86/Cd22/Igkv8-28/Lilrb4a/Igkv10-94/Igkv4-57-1/Igkv5-39/Igkv3-4/Igkv4-63/H2-Ob/Igkv6-20/Cd28/Igkv3-12/Igkv1-135/Igkv4-74/Igkv4-58/Igkv4-86/Igkv3-1/Siglecg/Ighd/Igkv11-125/H2-DMb2/Igkv14-100/Igkv3-7/Igkv1-133"
"GO:0032543","GO:0032543","mitochondrial translation",130,0.650155005280207,2.77597040148593,8.80220547520525e-16,1.2990654408326e-12,1.11709754045496e-12,3659,"tags=70%, list=26%, signal=52%","Mrpl27/Mrps12/Mrpl52/Mrpl55/Uqcc2/Mrpl28/Mrps21/Coa3/Mrpl41/Mrps35/Mrpl34/Mrps6/Mrps28/Gadd45gip1/Mrpl21/Mrpl11/Mrps16/Mrps25/Tsfm/Mrps14/Mrps23/Mrpl22/Mrps24/Ndufa7/Mrpl51/Chchd1/Mrpl17/Mrpl48/Mrpl45/Mrpl14/Mrps18c/Mrpl2/Mpv17l2/Mrpl12/Mrps33/Mrps7/Mrpl44/Rpusd3/Mrpl43/Mrpl13/Dap3/Cdk5rap1/Mrpl54/Mrpl36/Mrps30/Mrpl33/Mrpl23/Mrpl57/Mrps27/Mrps18a/Mrpl20/Mrpl42/Mrps11/Mrpl3/Gatb/Mrps15/Mrpl16/Mrps26/Mrpl35/Mrpl46/Mrpl58/Mrpl18/Mrpl9/Malsu1/Tufm/Mrpl24/Mrpl32/Mrpl30/Mrps31/Gars/C1qbp/Mrps22/Mtg1/Mrpl38/Mrps9/Aurkaip1/Mrpl39/Mrps34/Rars2/Mrpl40/Mrps10/Mtrf1l/Mrpl47/Rpusd4/Mtrf1/Yars2/Rcc1l/Hars/Mrpl4/Mrps5/Mrpl37"
"GO:0002181","GO:0002181","cytoplasmic translation",139,0.641051979790049,2.7530490444289,8.84921962420024e-16,1.2990654408326e-12,1.11709754045496e-12,2866,"tags=63%, list=21%, signal=51%","Rpl29/Rpl26/Rps3a1/Rpl35a/Rpl21/Rps18/Rpl30/Rps14/Rplp1/Rpl38/Rplp2/Rps8/Rpl37a/Rps28/Rps29/Rps21/Rpl3/Rpl9-ps6/Rplp0/Rps12/Rps20/Rps7/Rpl39/Rps13/Rpl24/Rpl34/Rpl13a/Rps26/Uba52/Rpl18/Rps24/Rps27a/Rpl36a/Rpl41/Rpl27/Rps19/Rpl18a/Rpl31/Eif4ebp1/Rps15/Rps17/Fau/Rpl22l1/Rpl14/Rps15a/Rps2/Rpl11/Rps16/Rpl36/Eif4a1/Rpl8/Rps5/Rpl27a/Rpl9/Rpl23/Rpl17/Rpl12/Rpl22/Rpl13/Rps3/Rpsa/Rps9/Rps6/Rpl32/Rps25/Rps4x/Rpl19/Rwdd1/Eif3i/Eif3m/Rps11/Rpl7a/Eif3d/Rpl28/Mcts2/Rps23/Rpl7/Rpl6/Drg1/Rpl23a/Ncbp1/Dph3/Rpl5/Denr/Rpl15/Pkm/Ybx1/Mif4gd"
"GO:0140053","GO:0140053","mitochondrial gene expression",162,0.618402804341836,2.73294613609018,7.94896923664624e-16,1.2990654408326e-12,1.11709754045496e-12,3659,"tags=64%, list=26%, signal=47%","Mrpl27/Mrps12/Mrpl52/Mrpl55/Uqcc2/Mthfs/Mrpl28/Mrps21/Coa3/Mrpl41/Mrps35/Mrpl34/Slc25a33/Mrps6/Mtres1/Mrps28/Chchd10/Gadd45gip1/Mrpl21/Mrpl11/Mrps16/Mrps25/Tsfm/Mrps14/Mrps23/Mrpl22/Mrps24/Ndufa7/Mrpl51/Chchd1/Mrpl17/Mrpl48/Mrpl45/Mrpl14/Mrps18c/Mrpl2/Mpv17l2/Mrpl12/Mrps33/Mrps7/Mrpl44/Rpusd3/Mrpl43/Mrpl13/Dap3/Cdk5rap1/Mrpl54/Mrpl36/Mrps30/Mrpl33/Mrpl23/Mrpl57/Mrps27/Mrps18a/Mrpl20/Mrpl42/Mrps11/Mrpl3/Gatb/Mrps15/Mrpl16/Mrps26/Mrpl35/Prorp/Mrpl46/Mrpl58/Mrpl18/Mrpl9/Malsu1/Tufm/Mrpl24/Mrpl32/Hsd17b10/Mrpl30/Mrps31/Gars/C1qbp/Fastkd5/Mrps22/Mtg1/Mrpl38/Mrps9/Tefm/Mterf4/Aurkaip1/Mrpl39/Mrps34/Rars2/Mrpl40/Thap11/Mrps10/Mtrf1l/Tfam/Mrpl47/Rpusd4/Mtrf1/Yars2/Mterf1a/Rcc1l/Hars/Mrpl4/Mrps5/Mrpl37"
"GO:0006119","GO:0006119","oxidative phosphorylation",128,0.64489018426585,2.73768846471778,1.3541583646677e-14,1.59032358346574e-11,1.36755740532862e-11,2528,"tags=62%, list=18%, signal=51%","ND3/Ak4/Uqcrb/Ndufa3/Atp5k/Ndufc2/Ndufa5/Chchd2/Cox7a2l/Atp5e/Uqcc2/Uqcrh/Ndufb3/Ndufb1/Ndufs6/Ndufb10/Ndufa12/Ndufc1/Ndufa13/Cox7a1/Ndufa2/Atp5j2/Cox7c/Ndufa1/Cox6a1/Ndufb11/Cox7a2/Ndufs5/Cox5a/Cox4i2/Slc25a33/Nupr1/Atp5h/Cox5b/Uqcr11/Uqcrq/Chchd10/Ndufa11/Gadd45gip1/Ndufs7/Cox4i1/Ndufb5/Ndufb9/Ndufv3/Park7/Ndufs8/Uqcr10/Ndufb4/Ndufb6/Ndufa7/Ndufb7/Ndufa6/Cdk1/Atp5d/Dnajc15/Ndufa8/Ndufv2/Uqcc3/Cycs/Atp5o/Ndufs2/Ndufb8/Ndufab1/Ndufs4/Sdhb/Sdhc/Antkmt/Bid/Stoml2/Ndufa9/Atp5j/Ndufb2/Ndufs3/Iscu/Ndufv1/Uqcrfs1/Mtch2/Pink1/Tefm"
"GO:0009060","GO:0009060","aerobic respiration",168,0.570233141746217,2.52960125675917,1.04951256333617e-12,8.80391110272858e-10,7.57069438544906e-10,2528,"tags=49%, list=18%, signal=40%","ND3/Ak4/Uqcrb/Ndufa3/Atp5k/Ndufc2/Ndufa5/Chchd2/Cox7a2l/Atp5e/Uqcc2/Uqcrh/Ndufb3/Ndufb1/Ndufs6/Ndufb10/Ndufa12/Ndufc1/Ndufa13/Cox7a1/Ndufa2/Atp5j2/Cox7c/Ndufa1/Cox6a1/Ndufb11/Cox7a2/Ndufs5/Cox5a/Cox4i2/Slc25a33/Nupr1/Atp5h/Cox5b/Uqcr11/Uqcrq/Chchd10/Ndufa11/Gadd45gip1/Ndufs7/Cox4i1/Ndufb5/Ndufb9/Ndufv3/Park7/Ndufs8/Uqcr10/Suclg1/Ndufb4/Ndufb6/Ndufa7/Ndufb7/Ndufa6/Cdk1/Atp5d/Dnajc15/Ndufa8/Ndufv2/Uqcc3/Cycs/Atp5o/Ndufs2/Ndufb8/Ndufab1/Ndufs4/Sdhb/Mdh1/Mtfr2/Sdhc/Antkmt/Bid/Stoml2/Ndufa9/Atp5j/Ndufb2/Ndufs3/Iscu/Ndufv1/Uqcrfs1/Mtch2/Pink1/Tefm"
"GO:0002440","GO:0002440","production of molecular mediator of immune response",287,-0.519467209400389,-2.26256462307984,9.93256653974444e-13,8.80391110272858e-10,7.57069438544906e-10,1305,"tags=26%, list=9%, signal=24%","Tril/Lax1/H2-DMa/Axl/Igkv9-124/Parp3/Cd40/Igkv4-55/Il27ra/Card11/Fcgr2b/Ash1l/Rasgrp1/Igkv6-23/Igkv8-21/Cd37/Igkv4-72/Igkv2-112/Ccr2/Gprc5b/Ptprc/Igkv8-24/Igkv10-96/Rif1/Igkv4-80/Il33/Atm/Cd74/Igkv6-25/Btk/Igkv4-79/Igkv6-32/Igkv4-68/Cd36/Angpt1/Tlr7/Pou2f2/Tlr9/Il7r/Igkv4-91/Igkv12-44/Igkv8-30/Igkv6-17/Il18rap/Mmp7/Igkv4-50/Lilrb4b/H2-Aa/Cd86/Cd22/Igkv8-28/Lilrb4a/Igkv10-94/Igkv4-57-1/Cd244a/Igkv5-39/Igkv3-4/Igkv4-63/H2-Ob/Igkv6-20/Cd28/Igkv3-12/Igkv1-135/Igkv4-74/Igkv4-58/Igkv4-86/Igkv3-1/Siglecg/Ighd/Igkv11-125/H2-DMb2/Igkv14-100/Igkv3-7/Igkv1-133"
"GO:0045333","GO:0045333","cellular respiration",214,0.521292409519026,2.40296443999848,3.67588202227174e-12,2.69809740434746e-09,2.32015869221547e-09,2528,"tags=43%, list=18%, signal=36%","ND3/Prdm16/Lyrm7/Ak4/Uqcrb/Ndufa3/Atp5k/Etfb/Ndufc2/Ndufa5/Chchd2/Cox7a2l/Atp5e/Uqcc2/Uqcrh/Ndufb3/Ndufb1/Ndufs6/Ndufb10/Ndufa12/Ndufc1/Ndufa13/Cox7a1/Ndufa2/Atp5j2/Cox7c/Ndufa1/Cox6a1/Ndufb11/Cox7a2/Ndufs5/Cox5a/Cox4i2/Slc25a33/Nupr1/Atp5h/Cox5b/Sdhaf4/Uqcr11/Uqcrq/Chchd10/Ndufa11/Gadd45gip1/Ndufs7/Cox4i1/Cisd1/Ndufb5/Ndufb9/Ndufv3/Park7/Ndufs8/Uqcr10/Suclg1/Ndufb4/Ndufb6/Ndufa7/Ndufb7/Ndufa6/Cdk1/Atp5d/Dnajc15/Ndufa8/Ndufv2/Uqcc3/Cycs/Atp5o/Ndufs2/Ndufb8/Ndufab1/Ndufs4/Sdhb/Mdh1/Mtfr2/Sdhc/Antkmt/Bid/Stoml2/Prelid1/Ndufa9/Oas1a/Chchd4/Mtln/Atp5j/Ndufb2/Ndufs3/Iscu/Ndufv1/Chchd5/Uqcrfs1/Mtch2/Bax/Pink1/Tefm"
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis",67,0.731416326491806,2.80964877944436,5.02279790192562e-12,2.94938692801072e-09,2.53624858268813e-09,2335,"tags=76%, list=17%, signal=64%","ND3/Ndufa3/Atp5k/Ndufc2/Ndufa5/Atp5e/Ndufb3/Ndufb1/Ndufs6/Ndufb10/Ndufa12/Ndufc1/Ndufa13/Ndufa2/Atp5j2/Ndufa1/Ndufb11/Ndufs5/Atp5h/Ndufa11/Ndufs7/Ndufb5/Ndufb9/Ndufv3/Ndufs8/Ndufb4/Ndufb6/Ndufa7/Ndufb7/Ndufa6/Atp5d/Ndufa8/Ndufv2/Atp5o/Atp5l/Ndufs2/Ndufb8/Ndufab1/Atp5g3/Ndufs4/Sdhb/Sdhc/Antkmt/Stoml2/Atp5g2/Ndufa9/Atp5g1/Atp5j/Ndufb2/Ndufs3/Ndufv1"
"GO:0042254","GO:0042254","ribosome biogenesis",289,0.473506082808602,2.26748143448605,4.87170162505851e-12,2.94938692801072e-09,2.53624858268813e-09,3266,"tags=42%, list=24%, signal=32%","Rpl26/Rpl35a/Pop4/Rps14/Rpl38/Pin4/Rps8/Rps28/Gpatch4/Nop10/Rps21/Nsa2/Rplp0/Isg20/Rps7/Rps27rt/Rpl24/Zfp622/Utp11/Imp3/Rps27l/Rps24/Pop5/Rpl27/Rps19/Npm3/Pop7/Rps15/Rps27/Emg1/Frg1/Rps17/Rpl14/Rps2/Mrpl22/Eif6/Rpl11/Nhp2/Rps16/Exosc7/Rpl35/Ngdn/Gtf2h5/Rps5/Fcf1/Mrm2/Mpv17l2/Gar1/Lsm6/Mrps7/Exosc3/Rpusd3/Rpsa/Utp3/Mrpl36/Rps6/Pinx1/Rrp9/Rps25/Mrpl20/Rsl24d1/Nop16/Mrps11/Riox1/Sart1/Rpl7a/Exosc4/Ebna1bp2/Rbfa/Rpp30/Ddx47/Wdr74/Abt1/Glul/Malsu1/Rpl10/Rpl7/Rpl6/Rpl23a/Mrm3/Shq1/C1qbp/Rrp1/Exosc9/Mphosph6/Trmt112/Mrto4/Ran/Grwd1/C1d/Rpl5/Nmd3/Mterf4/Pak1ip1/Sbds/Rpf2/Brix1/Rrp7a/Rexo4/Wdr55/Rpl7l1/Utp14b/Bud23/Mterf3/Nifk/Exosc2/Lyar/Rpl10a/Nob1/Fam207a/Riox2/Pih1d1/Rrp36/Sirt7/Efl1/Nop53/Snu13/Bop1/Dcaf13/Rpusd4"
