Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,AK10,AK11,AK12,AK13,AK1,AK2,AK3,AK4,AK5,AK6,AK7,AK9,BK10,BK13,BK1,BK2,BK3,BK4,BK5,BK6,BK7,BK8,BK9
 Scgb2b10,0.654198127,2.808394633,0.93666278,2.998298525,0.002714916,0.014282024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75844036,0,0,0,0
 Serpina3i,1.634281201,-2.138890984,0.849804822,-2.516920271,0.011838562,0.046562739,0,0.95608104,4.139296654,1.77923923,6.13628132,0,3.681869843,0,0,3.978041853,0,10.44004968,0,0.980037725,0.941894619,0.882494111,0,0.95535399,0.75844036,0,0.971617425,0.987769765,0
 Usp44,0.782689784,-2.478098764,0.90287698,-2.744669339,0.00605719,0.027319772,0,0,2.483577992,3.55847846,1.227256264,1.241745539,1.227289948,0,1.841495992,1.326013951,2.447584748,0.949095426,0,0.980037725,0,0,0.719288984,0,0,0,0,0,0
 Scgb2b20,0.823827993,-2.51127812,0.882221617,-2.846538864,0.004419733,0.021186064,1.035647288,0.95608104,0.827859331,1.77923923,1.227256264,0,4.90915979,0,2.762243988,1.326013951,1.223792374,0.949095426,0,0.980037725,0,0,0,0,0,0,0.971617425,0,0
 Pcdhb12,0.834153777,-2.529512817,0.95603632,-2.645833389,0.008148994,0.034740115,4.142589151,2.86824312,0.827859331,0,0,2.483491078,0,0.98938894,0,1.326013951,3.671377122,0.949095426,0,0,0,0,0,0.95535399,0,0,0,0,0.972124766
 Eif3s6-ps2,0.856725259,-2.551827788,0.867685238,-2.940960241,0.003271965,0.016688243,2.071294575,1.91216208,0.827859331,0,1.227256264,3.725236618,2.454579895,0.98938894,0.920747996,2.652027902,1.223792374,0,0,0,0.941894619,0,0,0,0.75844036,0,0,0,0
 Sox15,0.652897094,-2.553337677,0.949658093,-2.688691535,0.007173267,0.031297109,2.071294575,0,0.827859331,1.77923923,0,1.241745539,0,3.95755576,0.920747996,1.326013951,1.223792374,0.949095426,0,0,0,0,0.719288984,0,0,0,0,0,0
 Teddm3,0.907501027,-2.689737474,0.925293833,-2.906900897,0.003650288,0.018265909,3.106941863,2.86824312,0.827859331,0.889619615,2.454512528,0,2.454579895,3.95755576,0,2.652027902,0,0,0,0,0.941894619,0,0.719288984,0,0,0,0,0,0
 Slc36a3os,0.739520792,-2.697246124,0.923446389,-2.920847552,0.003490806,0.017591218,0,0.95608104,1.655718662,0,1.227256264,0,1.227289948,1.97877788,0.920747996,3.978041853,2.447584748,1.898190852,0,0,0,0,0.719288984,0,0,0,0,0,0
 Catsperg2,0.735207338,-2.719314323,0.974663546,-2.790003108,0.005270754,0.024430612,0,0.95608104,1.655718662,1.77923923,1.227256264,2.483491078,0,0,4.603739979,1.326013951,0,1.898190852,0,0.980037725,0,0,0,0,0,0,0,0,0
 Otog,0.635770513,-2.8309328,0.938753757,-3.015628729,0.002564471,0.013661362,1.035647288,0.95608104,0.827859331,2.668858845,0,3.725236618,0,0.98938894,0.920747996,1.326013951,1.223792374,0.949095426,0,0,0,0,0,0,0,0,0,0,0
 Epb42,0.811838195,-2.845536995,0.967837429,-2.940098108,0.003281083,0.016724355,4.142589151,0,2.483577992,2.668858845,0,2.483491078,1.227289948,0,0.920747996,1.326013951,2.447584748,0,0,0,0,0,0,0,0,0,0,0,0.972124766
 Rpl21-ps3,0.892493526,-3.001941587,0.85320372,-3.518434714,0.000434101,0.003085705,0,2.86824312,0.827859331,0.889619615,2.454512528,1.241745539,1.227289948,2.96816682,2.762243988,0,2.447584748,1.898190852,0,0,0.941894619,0,0,0,0,0,0,0,0
 Scgb2b4-ps,0.752574987,-3.057023118,1.001021035,-3.053904976,0.002258836,0.012345747,1.035647288,2.86824312,1.655718662,0,1.227256264,0,2.454579895,2.96816682,0,2.652027902,2.447584748,0,0,0,0,0,0,0,0,0,0,0,0
 Mir8099-2,0.822220807,-3.230228532,0.9529873,-3.389581932,0.000699993,0.004676021,0,1.91216208,0.827859331,1.77923923,0,1.241745539,1.227289948,5.936333639,2.762243988,1.326013951,0,1.898190852,0,0,0,0,0,0,0,0,0,0,0
 Npw,1.282688082,-3.233817481,0.916120064,-3.529905748,0.000415708,0.00297818,5.178236438,3.824324161,0.827859331,0,2.454512528,2.483491078,2.454579895,0,3.682991983,0,0,6.64366798,0,0.980037725,0,0,0,0,0,0,0,0,0.972124766
 Csf2,0.906586505,-3.320533051,1.015528498,-3.269758609,0.001076393,0.006697057,0,0,3.311437323,0.889619615,2.454512528,6.208727696,0,0.98938894,0,2.652027902,2.447584748,1.898190852,0,0,0,0,0,0,0,0,0,0,0
 Cd209g,1.130313854,-3.359851439,0.977406437,-3.4375172,0.000587073,0.004016522,3.106941863,0,5.795015316,2.668858845,1.227256264,3.725236618,0,5.936333639,0,1.326013951,1.223792374,0,0,0,0,0,0,0,0,0,0,0.987769765,0
 Slc22a29,1.423754243,-3.374415497,0.773609397,-4.361911206,1.29E-05,0.000150508,1.035647288,3.824324161,1.655718662,2.668858845,3.681768792,0,6.136449738,1.97877788,2.762243988,2.652027902,3.671377122,0.949095426,0,0,0,0,0,0,0.75844036,0,0.971617425,0,0
 Catspere1,0.941273856,-3.388265956,1.095630398,-3.092526424,0.001984606,0.011060554,5.178236438,3.824324161,0.827859331,0,4.909025056,2.483491078,0,1.97877788,0,0,2.447584748,0,0,0,0,0,0,0,0,0,0,0,0
 Rpl31-ps21,1.531393756,-3.523465315,0.792668329,-4.445068873,8.79E-06,0.0001077,5.178236438,4.780405201,1.655718662,5.33771769,0,0,2.454579895,0.98938894,1.841495992,2.652027902,4.895169497,3.796381703,0,0,0,0.882494111,0,0,0.75844036,0,0,0,0
 Clec4d,2.55394041,-3.703800895,1.28615982,-2.879736123,0.003980081,0.019497498,3.106941863,0.95608104,15.72932729,0,4.909025056,0,0,0,3.682991983,0,0,26.57467192,0,0,0,0.882494111,0,0.95535399,0,0,0.971617425,0,0.972124766
 Igkv3-3,1.217798999,-3.771692069,1.224884433,-3.079222798,0.002075414,0.011473146,0,0,0,0,0,1.241745539,6.136449738,4.946944699,8.286731963,2.652027902,0,4.745477129,0,0,0,0,0,0,0,0,0,0,0
 Prss33,1.815351817,-3.783451711,0.755002218,-5.011179596,5.41E-07,8.77E-06,3.106941863,2.86824312,4.967155985,6.227337305,2.454512528,2.483491078,1.227289948,0,5.524487975,1.326013951,4.895169497,4.745477129,0,0,0,0,0,0.95535399,0,0,0.971617425,0,0
 Bpifa2,1.33146207,-3.868149089,0.794424694,-4.869119905,1.12E-06,1.71E-05,1.035647288,2.86824312,0.827859331,0.889619615,1.227256264,3.725236618,4.90915979,4.946944699,0.920747996,3.978041853,2.447584748,2.847286277,0,0,0,0,0,0,0,0,0,0,0
 H2-M9,2.832524934,-4.128511293,0.689565637,-5.987118658,2.14E-09,5.33E-08,5.178236438,8.604729361,4.139296654,5.33771769,3.681768792,8.692218775,4.90915979,1.97877788,3.682991983,6.630069754,4.895169497,4.745477129,0,0,0.941894619,0,0,0,0.75844036,0,0,0,0.972124766
 Fgf23,1.820732742,-4.35766232,1.085737541,-4.013550379,5.98E-05,0.000565842,2.071294575,0.95608104,10.7621713,0,8.590793848,1.241745539,0,0.98938894,0,3.978041853,0,13.28733596,0,0,0,0,0,0,0,0,0,0,0
 Ighv2-7,1.875460823,-4.39218037,1.067502796,-4.114443902,3.88E-05,0.000390087,1.035647288,2.86824312,0,2.668858845,1.227256264,0,13.50018942,4.946944699,0,2.652027902,0,14.23643139,0,0,0,0,0,0,0,0,0,0,0
 Gp2,3.379654141,-4.405128894,0.79080393,-5.570443857,2.54E-08,5.29E-07,5.178236438,4.780405201,1.655718662,2.668858845,2.454512528,19.86792863,2.454579895,7.915111519,6.445235971,1.326013951,1.223792374,18.98190852,0,0,0.941894619,0.882494111,0,0.95535399,0,0,0,0,0
 Bpifb1,2.337629351,-4.42721039,0.718127039,-6.164940396,7.05E-10,1.90E-08,4.142589151,2.86824312,4.967155985,4.448098075,6.13628132,2.483491078,6.136449738,5.936333639,2.762243988,5.304055804,0,7.592763406,0,0,0,0,0,0,0,0,0,0.987769765,0
 Cort,2.877337122,-4.445885744,0.713842667,-6.228103126,4.72E-10,1.31E-08,7.249531014,2.86824312,10.7621713,1.77923923,4.909025056,2.483491078,9.81831958,2.96816682,3.682991983,3.978041853,6.118961871,7.592763406,0,0.980037725,0,0,0,0,0,0,0,0.987769765,0
 Pira11,2.394625933,-4.477459443,0.757643442,-5.909718472,3.43E-09,8.32E-08,4.142589151,2.86824312,9.106452639,7.11695692,6.13628132,6.208727696,2.454579895,0,3.682991983,2.652027902,1.223792374,8.541858832,0,0,0.941894619,0,0,0,0,0,0,0,0
 Ccnb1ip1,2.163976073,-4.577355538,0.737825109,-6.203848967,5.51E-10,1.52E-08,5.178236438,4.780405201,1.655718662,0.889619615,8.590793848,3.725236618,3.681869843,5.936333639,3.682991983,6.630069754,1.223792374,3.796381703,0,0,0,0,0,0,0,0,0,0,0
