Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,AW10,AW11,AW12,AW1,AW2,AW3,AW4,AW5,AW6,AW7,AW8,AW9,BW10,BW12,BW13,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9
 Lilrb4a,10.48258242,-1.699490148,0.355281331,-4.78350535,1.72E-06,8.76E-06,0,0,0,0,0,0.862255245,0,0,0,0.952519476,0.919741692,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dpep2,1.36251,-1.765484078,0.708508383,-2.491832305,0.012708602,0.025693679,0.773789876,0,0,0,0,0,0,0,0,0,0.919741692,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kcna4,0.775941836,-2.039485542,0.854533758,-2.386664684,0.017001991,0.033202113,0.773789876,0,3.012873639,4.051882485,1.021625906,1.724510489,0,1.109679268,0.846488123,1.905038953,0.919741692,0.72391012,0,0,0,1.727368334,0,0,0.80569518,0,0,0,0,0
 Sec14l4,0.651402178,-2.068202435,0.918277003,-2.252264217,0.02430558,0.045489342,0,0,1.004291213,0,0,1.724510489,1.928099433,1.109679268,3.385952492,1.905038953,1.839483384,0.72391012,0,0,0,0,0,0,0,0,1.057838718,0.9548482,0,0
 Zfp114,0.551859994,-2.182168567,0.969026804,-2.251917653,0.024327476,0.045520137,1.547579752,1.045728253,0,0,0,0.862255245,0,2.219358536,3.385952492,0.952519476,0.919741692,1.44782024,0,0,0,0.863684167,0,0,0,0,0,0,0,0
 Ak8,0.851578528,-2.188786547,0.777578347,-2.814875897,0.004879607,0.010960934,0.773789876,1.045728253,2.008582426,1.012970621,2.043251811,1.724510489,2.892149149,2.219358536,1.692976246,0.952519476,0,1.44782024,0,0,0,0.863684167,0,0,0.80569518,0,0,0.9548482,0,0
 Clec4e,0.718195624,-2.200187636,0.946194355,-2.325302011,0.020055817,0.03850054,1.547579752,0,1.004291213,5.064853107,1.021625906,0,1.928099433,0,0.846488123,2.857558429,0.919741692,0,0,0,0,0,1.240762135,0,0.80569518,0,0,0,0,0
 Ighv5-2,0.694039825,-2.225222818,1.004513997,-2.215223306,0.026744741,0.049386158,0.773789876,1.045728253,1.004291213,2.025941243,0,0,0,0,0.846488123,0.952519476,0.919741692,7.239101201,1.043659539,0,0,0,0,0,0.80569518,0,0,0,0,0
 Mir3473g,0.461877035,-2.239732795,0.980851873,-2.283456715,0.02240348,0.042423071,0.773789876,0,3.012873639,0,0,0.862255245,0.964049716,1.109679268,0.846488123,0.952519476,1.839483384,0.72391012,0,0,0,0,0,0,0,0,0,0,0,0
 Pcdhb2,0.718059835,-2.281525615,0.910595489,-2.505531427,0.012226753,0.024832244,3.868949381,0,1.004291213,0,0,1.724510489,0.964049716,0,0.846488123,2.857558429,2.759225076,1.44782024,0,0,0,0,0,0,0.80569518,0,0,0.9548482,0,0
