Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,AK10,AK11,AK12,AK13,AK1,AK2,AK3,AK4,AK5,AK6,AK7,AK9,BK10,BK13,BK1,BK2,BK3,BK4,BK5,BK6,BK7,BK8,BK9
 Pbp2,26.64290886,8.163968107,0.639570804,12.76476045,2.58E-37,4.50E-35,0,0,0,0,0,0,0,0,0,0,0,0,48.54205675,53.90207485,32.96631165,30.00479976,35.24516021,21.97314177,84.18687996,57.06559637,104.9346819,67.16834405,76.79785653
 Lefty1,15.0406753,7.085562692,0.608950163,11.63570211,2.71E-31,3.62E-29,0,0,0,0,0,0,0,0,0,0,1.223792374,0,34.51879591,31.36120719,31.08252242,21.17985866,20.14009155,41.08022157,28.82073368,35.93019031,30.12014017,30.62086273,39.85711542
 H60c,11.00170479,6.890482637,0.653428896,10.54511467,5.35E-26,5.56E-24,0,0,0,0,0,0,0,0,0,0,0,0,42.06978252,10.78041497,32.96631165,30.00479976,27.33298139,14.33030985,28.06229332,14.79478424,31.09175759,13.82877672,7.77699813
 Hba-a2,9.487344553,6.674916569,0.642793634,10.38422942,2.93E-25,2.89E-23,0,0,0,0,0,0,0,0,0,0,0,0,17.25939796,10.78041497,15.0703139,29.12230565,10.78933476,36.30345162,24.27009152,19.02186546,13.60264395,11.85323718,30.13586775
 Ighv1-42,8.300026755,6.480111174,0.727364239,8.90903185,5.15E-19,3.71E-17,0,0,0,0,0,0,0,0,0,0,0,0,12.94454847,37.24143353,413.4917376,1.764988221,18.70151358,45.85699151,10.61816504,20.07863576,18.46073107,6.914388358,13.60974673
 Azgp1,8.184813938,5.965628189,0.630617933,9.459972314,3.08E-21,2.47E-19,0,0.95608104,0,0,0,0,1.227289948,0,0,0,0,0,18.33811033,22.54086767,15.0703139,32.6522821,12.22791273,13.37495586,18.20256864,12.68124364,12.63102652,9.877697654,18.47037056
 Ear-ps3,4.842446391,5.69785572,0.721255471,7.899913342,2.79E-15,1.46E-13,0,0,0,0,0,0,0,0,0,0,0,0,8.629698978,16.66064132,13.18652466,7.059952886,0,2.86606197,12.13504576,12.68124364,11.6594091,15.80431625,10.69337243
 Capn11,4.453285214,5.079272869,1.447957076,3.507889117,0.000451677,0.003184441,0,0,0.827859331,0.889619615,0,0,0,0,0,0,0,0,0,4.900188623,16.01220852,11.47242344,0,0,23.51165116,0,0,5.926618592,38.88499065
 Cyp2r1,3.166305851,4.846142579,0.672360078,7.207659613,5.69E-13,2.30E-11,0,0.95608104,0,0,0,0,0,0,0,0,0,0,7.550986606,4.900188623,4.709473094,7.942446997,12.22791273,5.732123939,6.06752288,4.227081212,11.6594091,2.963309296,3.888499065
 Ckmt2,2.872249549,4.684760503,0.69024942,6.787054604,1.14E-11,3.85E-10,1.035647288,0,0,0,0,0,0,0,0,0,0,0,5.393561861,10.78041497,7.53515695,1.764988221,4.315733903,6.687477929,7.5844036,6.340621819,9.716174248,2.963309296,1.944249533
 AY358078,2.241154264,4.5880551,0.759884745,6.037830249,1.56E-09,3.97E-08,0,0,0,0,0,0,0,0,0,0,0,0,7.550986606,3.920150898,6.593262331,6.177458775,0,2.86606197,7.5844036,3.170310909,7.772939398,4.938848827,0.972124766
 Csta2,2.188891467,4.562970034,0.721840302,6.321301292,2.59E-10,7.46E-09,0,0,0,0,0,0,0,0,0,0,0,0,2.157424745,3.920150898,2.825683856,4.412470554,7.912178822,4.776769949,1.51688072,5.283851516,11.6594091,2.963309296,2.916374299
 Fgl1,1.724061333,4.202692845,0.718666584,5.847903519,4.98E-09,1.17E-07,0,0,0,0,0,0,0,0,0,0,0,0,1.078712372,6.860264072,5.651367712,3.529976443,1.438577968,2.86606197,2.27532108,4.227081212,3.886469699,3.951079061,3.888499065
 Cldn34c1,1.418796323,3.928930401,0.775470667,5.066510659,4.05E-07,6.76E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.078712372,1.960075449,0.941894619,3.529976443,1.438577968,4.776769949,3.7922018,5.283851516,0.971617425,6.914388358,1.944249533
 Apoa2,1.591710555,3.841200842,0.727666542,5.278792713,1.30E-07,2.40E-06,0,0,0,0,0,0,0,0,0,0,0,0.949095426,2.157424745,1.960075449,3.767578475,2.647482332,7.192889838,1.91070798,3.03376144,4.227081212,2.914852274,0.987769765,4.860623831
 Ooep,2.207586656,3.769808414,0.699967737,5.385688818,7.22E-08,1.40E-06,0,0,0,0.889619615,0,0,0,0,0,0,0,1.898190852,3.236137117,4.900188623,4.709473094,3.529976443,4.315733903,6.687477929,3.03376144,0,4.858087124,4.938848827,7.77699813
 Ighv11-2,1.764437752,3.676954878,0.941514531,3.905361793,9.41E-05,0.000843369,0,0,0,0,0,0,1.227289948,0.98938894,0,0,0,0,11.86583609,1.960075449,0,0,0.719288984,0.95535399,5.30908252,0,9.716174248,3.951079061,3.888499065
 Slc7a15,1.748394318,3.655068077,0.717313412,5.095496637,3.48E-07,5.86E-06,0,0.95608104,0,0,0,1.241745539,0,0,0,0,0,0,5.393561861,4.900188623,3.767578475,0.882494111,1.438577968,5.732123939,3.03376144,2.113540606,4.858087124,3.951079061,1.944249533
 Akr1c21,1.687174922,3.609428198,0.733630466,4.919954072,8.66E-07,1.35E-05,0,0,0,0,1.227256264,0,0,0,0.920747996,0,0,0,6.472274234,4.900188623,0.941894619,2.647482332,4.315733903,2.86606197,0.75844036,1.056770303,3.886469699,3.951079061,4.860623831
 Trim30e-ps1,0.894448272,3.28476768,0.849323504,3.86751063,0.000109952,0.000962476,0,0,0,0,0,0,0,0,0,0,0,0,1.078712372,0.980037725,2.825683856,1.764988221,3.596444919,0.95535399,1.51688072,0,1.94323485,4.938848827,0.972124766
 S100z,0.833908659,3.191580976,0.917331775,3.479200288,0.000502913,0.003491668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980037725,0.941894619,0.882494111,2.877155935,0,4.55064216,2.113540606,3.886469699,1.975539531,0.972124766
 Bhmt2,2.136300058,3.189341784,0.747310658,4.267758998,1.97E-05,0.000218965,0,0,0.827859331,0.889619615,0,0,0,0.98938894,1.841495992,0,0,0,4.314849489,0.980037725,5.651367712,1.764988221,3.596444919,0,8.34284396,4.227081212,2.914852274,9.877697654,2.916374299
 Tspo2,1.477382587,3.153145264,0.75311992,4.186777138,2.83E-05,0.000299224,0,0,0,1.77923923,0,0,0,0,0,0,0,0.949095426,3.236137117,4.900188623,1.883789237,4.412470554,0.719288984,0.95535399,5.30908252,1.056770303,3.886469699,1.975539531,2.916374299
 Best1,1.208616706,3.111905729,0.797779923,3.900706999,9.59E-05,0.000856764,0,0,0,0,0,0,0,0,0,2.652027902,0,0,1.078712372,0.980037725,2.825683856,4.412470554,4.315733903,2.86606197,3.7922018,0,1.94323485,0.987769765,1.944249533
 Vmn2r29,1.162942717,3.04793201,0.800118501,3.809350746,0.000139332,0.001180619,0,0.95608104,0,0,0,1.241745539,0,0,0,0,0,0,4.314849489,0.980037725,0.941894619,0.882494111,3.596444919,1.91070798,3.7922018,4.227081212,0,0.987769765,2.916374299
 Vmn2r29,1.162942717,3.04793201,0.800118501,3.809350746,0.000139332,0.001180619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438577968,0,0,0,0,0.987769765,0
 Apoa5,0.935449532,3.044907571,0.918862253,3.313780233,0.000920438,0.005894324,0,0,0,0.889619615,0,0,0,0,0,0,0,0,1.078712372,0.980037725,1.883789237,5.294964664,0,3.82141596,4.55064216,1.056770303,0.971617425,0.987769765,0
 Calhm3,0.737749377,2.979925218,0.905910141,3.289426935,0.001003916,0.006320397,0,0,0,0,0,0,0,0,0,0,0,0,1.078712372,1.960075449,2.825683856,0,0.719288984,2.86606197,1.51688072,2.113540606,0.971617425,0,2.916374299
 Ighv1-47,1.096612519,2.967378986,1.111115316,2.670630979,0.007570883,0.032683035,0,0,0,0,0,0,0,0,0,0,0,1.898190852,1.078712372,1.960075449,12.24463004,0,0,3.82141596,2.27532108,0,0.971617425,0,0.972124766
 Lrrc46,0.876682671,2.936805366,0.830199261,3.537470464,0.000403979,0.00290812,0,0,0,0,0,0,0,0,0.920747996,0,0,0,1.078712372,2.940113174,1.883789237,1.764988221,0.719288984,0.95535399,3.03376144,0,0.971617425,3.951079061,1.944249533
 Dnah7a,1.29405996,2.921426884,0.818793951,3.567963441,0.000359767,0.002644358,0,0,0,1.77923923,0,0,0,0,0.920747996,0,0,0,3.236137117,6.860264072,1.883789237,0.882494111,0,4.776769949,1.51688072,1.056770303,2.914852274,2.963309296,0.972124766
 Tecta,0.686842502,2.905483255,1.069740456,2.716063731,0.00660632,0.029210541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.767578475,1.764988221,2.157866952,0.95535399,2.27532108,0,0,0.987769765,3.888499065
