Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,AW10,AW11,AW12,AW1,AW2,AW3,AW4,AW5,AW6,AW7,AW8,AW9,BW10,BW12,BW13,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9
 Trim12a,134.184832,10.13378098,0.607509709,16.68085435,1.81E-62,6.17E-60,0,0,2.008582426,0,0,0,0,0,0,0,0,0,394.5033056,402.3870128,318.7011396,200.3747267,173.7066989,271.5612205,238.4857732,196.6114152,220.0304533,293.1383975,212.2696656,296.6575765
 Ighv1-12,28.68202615,8.391641736,0.803345672,10.44586662,1.53E-25,1.15E-23,0,0,0,0,0,0,0,0,0,0,0,0,9.392935848,15.42697813,18.4911924,64.77631252,16.12990776,41.8612158,82.18090832,107.1355616,42.31354871,207.2020594,60.81239068,22.64561652
 Hba-a2,19.60895583,7.839973016,0.750909745,10.44063294,1.62E-25,1.21E-23,0,0,0,0,0,0,0,0,0,0,0,0,14.61123354,47.56651589,73.96476959,15.54631501,44.66743687,140.6107505,23.36516021,35.3194159,14.80974205,24.8260532,17.21105397,18.11649322
 Ighv1-42,18.04382491,7.723311759,0.869091717,8.886647534,6.30E-19,2.67E-17,0,0,0,0,0,0,0,0,0,0,0,0,10.43659539,14.14139662,54.38585999,145.0989401,18.61143203,64.40187046,7.251256617,4.709255453,59.23896819,12.4130266,35.56951153,6.793684957
 Pbp2,22.62462833,7.323531385,0.613040227,11.94624931,6.79E-33,8.29E-31,0,0,0,2.025941243,0,0,0,0,0.846488123,0,0,0,40.70272201,29.56837475,58.73672879,70.82210169,45.90819901,66.54859948,33.03350236,40.02867135,38.08219384,50.60695461,30.97989714,35.10070561
 Ear-ps3,13.61809985,7.304691518,0.616269767,11.85307459,2.07E-32,2.43E-30,0,0,0,0,0,0,0,0,0,0,0,0,32.3534457,32.13953777,17.4034752,23.31947251,27.29676698,31.12757072,16.11390359,43.56061294,29.6194841,19.096964,34.42210793,20.38105487
 H60c,6.479889368,6.25286177,0.693811188,9.012339199,2.02E-19,9.07E-18,0,0,0,0,0,0,0,0,0,0,0,0,7.30561677,8.999070575,13.0526064,36.27473501,14.88914562,20.39392565,14.50251323,3.53194159,6.347032306,2.864544601,13.76884317,13.58736991
 Ckmt2,4.523632291,5.735529206,0.656734465,8.733406739,2.47E-18,9.98E-17,0,0,0,0,0,0,0,0,0,0,0,0,5.218297693,2.571163021,7.614020399,10.36421,16.12990776,13.9537386,12.08542769,7.06388318,13.75190333,9.548482002,5.737017989,4.529123305
 Csta2,3.660300897,5.409296691,0.694110712,7.793132414,6.54E-15,1.78E-13,0,0,0,0,0,0,0,0,0,0,0,0,6.261957232,2.571163021,14.1403236,1.727368334,11.16685922,10.73364508,2.417085539,4.709255453,4.231354871,10.5033302,10.32663238,9.058246609
 Fgl1,3.28493869,5.265674756,0.663446274,7.936851801,2.07E-15,6.02E-14,0,0,0,0,0,0,0,0,0,0,0,0,6.261957232,6.427907553,16.315758,6.909473336,6.203810677,7.513551554,6.445561437,5.886569317,3.173516153,5.729089201,3.442210793,4.529123305
 Bhmt2,3.039772312,5.135565791,0.690572929,7.436674063,1.03E-13,2.39E-12,0,0,0,0,0,0,0,0,0,0,0,0,9.392935848,6.427907553,2.1754344,2.591052501,6.203810677,11.80700959,3.222780719,10.59582477,2.115677435,4.774241001,4.589614391,9.058246609
 AY358078,2.554215918,4.654921669,0.719633051,6.468465644,9.90E-11,1.40E-09,0.773789876,0,0,0,0,0,0,0,0,0,0,0,12.52391446,5.142326043,1.0877172,6.045789169,2.481524271,3.220093523,7.251256617,7.06388318,6.347032306,4.774241001,4.589614391,0
 Cd300e,3.668175662,4.639499915,0.661212206,7.016658006,2.27E-12,4.32E-11,0,0,2.008582426,0,0,0.862255245,0,0,0,0,0,0,6.261957232,6.427907553,13.0526064,5.182105002,14.88914562,3.220093523,5.639866257,5.886569317,8.462709742,4.774241001,3.442210793,7.925965783
 Rnase2b,2.002918631,4.521277512,0.755596783,5.983717259,2.18E-09,2.25E-08,0,0,0,0,0,0,0,0,0,0,0,0,5.218297693,8.999070575,2.1754344,0.863684167,6.203810677,6.440187046,2.417085539,5.886569317,0,1.9096964,2.294807195,5.661404131
 Il36b,1.909073106,4.478617258,0.756915415,5.916932292,3.28E-09,3.23E-08,0,0,0,0,0,0,0,0,0,0,0,0,5.218297693,0,3.2631516,3.454736668,1.240762135,5.366822539,0,5.886569317,6.347032306,4.774241001,5.737017989,4.529123305
 S100z,1.84168478,4.415324172,0.723835369,6.099901115,1.06E-09,1.19E-08,0,0,0,0,0,0,0,0,0,0,0,0,6.261957232,3.856744532,3.2631516,4.318420835,4.963048541,3.220093523,1.611390359,5.886569317,2.115677435,1.9096964,0,6.793684957
 Strc,1.941821281,4.23345274,0.687906252,6.154112904,7.55E-10,8.75E-09,0,0,0,0,0,0,0,0,0,0,0,0.72391012,4.174638154,3.856744532,4.350868799,3.454736668,2.481524271,3.220093523,2.417085539,4.709255453,4.231354871,3.819392801,8.031825184,1.132280826
 Vmn2r29,1.757985156,4.103420204,0.699551305,5.865788795,4.47E-09,4.25E-08,0,0,1.004291213,0,0,0,0,0,0,0,0,0,1.043659539,3.856744532,3.2631516,4.318420835,2.481524271,1.073364508,4.834171078,3.53194159,4.231354871,5.729089201,2.294807195,4.529123305
 Vmn2r29,1.757985156,4.103420204,0.699551305,5.865788795,4.47E-09,4.25E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.028475898,0,0,0,2.294807195,0
 Ooep,1.646203873,3.970103769,0.762774866,5.204817237,1.94E-07,1.23E-06,0.773789876,0,0,0,0,0,0,0,0,0,0,0,4.174638154,8.999070575,2.1754344,2.591052501,4.963048541,1.073364508,0.80569518,2.354627727,0,4.774241001,2.294807195,4.529123305
 Tspo2,1.609353439,3.956159314,0.877932015,4.506225137,6.60E-06,2.90E-05,0,0,0,0,0,0.862255245,0,0,0,0,0,0,3.130978616,0,1.0877172,0,2.481524271,6.440187046,0.80569518,5.886569317,9.520548459,3.819392801,4.589614391,0
 Slc7a15,1.154631473,3.746260541,0.797899431,4.695153792,2.66E-06,1.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.087319077,3.856744532,1.0877172,2.591052501,2.481524271,0,3.222780719,2.354627727,1.057838718,0.9548482,6.884421586,1.132280826
 Slc28a3,2.142754594,3.609020654,0.693557633,5.203634828,1.95E-07,1.24E-06,0.773789876,0,0,0,0,0,0.964049716,0,0,0,0.919741692,0.72391012,5.218297693,1.285581511,2.1754344,6.909473336,2.481524271,2.146729015,5.639866257,4.709255453,7.404871024,0.9548482,4.589614391,4.529123305
 Trim30e-ps1,0.938650496,3.444931742,0.82270562,4.187320055,2.82E-05,0.000107167,0,0,0,0,0,0,0,0,0,0,0,0,0,1.285581511,1.0877172,0.863684167,1.240762135,2.146729015,2.417085539,2.354627727,1.057838718,0.9548482,4.589614391,4.529123305
 Cldn34c1,1.06852578,3.360911221,0.845538072,3.974878637,7.04E-05,0.000244429,0,0,0,0,1.021625906,0,0,0,0,0,0,0,3.130978616,0,6.526303199,1.727368334,0,0,2.417085539,2.354627727,1.057838718,2.864544601,1.147403598,3.396842478
 Sox2ot,1.028991791,3.325592614,0.859560197,3.868946728,0.000109307,0.00036229,0,0,0,0,0,0,0.964049716,0,0,0,0,0,4.174638154,0,0,1.727368334,0,3.220093523,4.834171078,1.177313863,4.231354871,0.9548482,1.147403598,2.264561652
 Oosp1,0.992927212,3.211963308,0.796519122,4.032499936,5.52E-05,0.000196376,0,0,0,1.012970621,0,0,0,0,0,0,0,0,2.087319077,3.856744532,4.350868799,1.727368334,1.240762135,1.073364508,1.611390359,3.53194159,1.057838718,0,1.147403598,1.132280826
 Snord13,1.413224113,3.177448422,0.801602104,3.963872356,7.37E-05,0.00025443,0,0,0,0,0,0,0,0,0.846488123,0,1.839483384,0,3.130978616,3.856744532,3.2631516,0.863684167,3.722286406,5.366822539,0,4.709255453,4.231354871,0.9548482,0,1.132280826
 Lrrc46,1.370011048,3.163964547,0.745035576,4.246729485,2.17E-05,8.45E-05,0,0,0,0,1.021625906,0.862255245,0,0,0,0.952519476,0,0,6.261957232,1.285581511,0,3.454736668,2.481524271,3.220093523,2.417085539,1.177313863,4.231354871,0.9548482,2.294807195,2.264561652
 Akr1c21,0.919988044,3.149585264,0.851290025,3.699779358,0.000215787,0.000667471,0,0,0,1.012970621,0,0,0,0,0,0,0,0,0,0,1.0877172,1.727368334,1.240762135,3.220093523,3.222780719,1.177313863,4.231354871,2.864544601,2.294807195,0
