"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002377","BP","GO:0002377","immunoglobulin production",231,-0.779697743469698,-2.56616785035236,4.88108471127897e-31,3.99077485994169e-27,3.71681755804127e-27,1728,"tags=56%, list=11%, signal=51%","Nhej1/Tgfb1/Icosl/Fcgr2b/Tbx21/Tlr9/Slc15a4/Card11/Il7r/Igkv14-130/Igkv12-98/Tnfsf13/Igkv4-69/Igkv4-91/Igkv1-117/Il4ra/Fas/Sash3/H2-Eb1/Igkv9-120/Ighm/B2m/Parp3/Igkv4-79/Igkv14-111/Vpreb1/Xcl1/Pou2f2/Igkv4-86/Crlf2/Igkv1-132/Igkv8-16/Lilrb4a/Igkv4-62/Igkv12-46/Btk/Cd28/Tnfsf13b/H2-DMb1/Igkv6-25/Il33/Igkv15-103/Igkv13-84/Igkv9-124/Foxp3/Igkv10-96/H2-Ab1/Lax1/Cd37/Cd27/Batf/Igkv8-27/Siglecg/Igkv5-48/Cd40/Cd86/Igkv5-37/Igkv2-109/Il5/Ccr6/H2-DMa/Igkv6-15/Igkv4-51/Igkv3-9/Mzb1/Igkv3-12/Ifng/H2-Oa/Igkv6-32/Cd22/Igkv10-94/Igkv6-23/Tnf/Igkv3-1/Aicda/Igkv4-59/Nuggc/Igkv17-121/Ighe/Igkv16-104/H2-Ob/Il13ra2/Igkv4-68/Igkv4-53/Igkv4-61/Igkv4-58/H2-Aa/Igkv8-30/Il6/Igkv8-24/Igkv4-57/Igkv3-2/Igkv19-93/Igkv2-137/Igkv4-90/H2-Eb2/Igkv1-122/Igkv8-21/Ighd/Trav15-1-dv6-1/Igkv12-44/Igkv13-85/Igkv6-14/Igkv4-72/Igkv7-33/Vpreb3/Igkv4-55/Igkv3-5/Igkv1-135/Igkv3-10/Igkv5-39/Igkv3-4/Igkv6-29/Igkv6-13/Igkv12-38/Igkv6-17/Igkv2-112/Igkv1-99/Igkv11-125/Igkv6-20/Igkv4-57-1/Igkv4-54/Igkv9-123/Igkv1-133/H2-DMb2/Igkv3-3/Igkv8-34/Igkv4-63/Igkv3-7/Igkv8-18"
"GO:0002440","BP","GO:0002440","production of molecular mediator of immune response",359,-0.70483217470531,-2.41156689043173,1.77543088165256e-28,7.25796144419566e-25,6.75971947256558e-25,1728,"tags=40%, list=11%, signal=36%","Igkv4-91/Igkv1-117/Il4ra/Fas/Sash3/H2-Eb1/Igkv9-120/Ighm/B2m/Parp3/Igkv4-79/Igkv14-111/Vpreb1/Card9/Bst2/Sema7a/Laptm5/Xcl1/Gata3/Pou2f2/Igkv4-86/Crlf2/Igkv1-132/Igkv8-16/Lilrb4a/Igkv4-62/Igkv12-46/Btk/Ccr2/Cd28/Tnfsf13b/H2-DMb1/Igkv6-25/Il33/Cd55/Igkv15-103/Igkv13-84/Igkv9-124/Foxp3/Igkv10-96/Twist2/H2-Ab1/Lilrb4b/Lax1/Spink5/Cd37/Cd27/Batf/Igkv8-27/Cd55b/Siglecg/Tlr2/Igkv5-48/Cd40/Cd86/Igkv5-37/Igkv2-109/Il5/Ccr6/Scimp/Cd244a/H2-DMa/Igkv6-15/Igkv4-51/Igkv3-9/Mzb1/Il12b/Il18rap/Il17f/Igkv3-12/Ifng/H2-Oa/Il17a/Igkv6-32/Cd22/Igkv10-94/Igkv6-23/Tnf/Slamf1/Igkv3-1/Aicda/Igkv4-59/Nuggc/Igkv17-121/Cd74/Ighe/Igkv16-104/H2-Ob/Il13ra2/Igkv4-68/Igkv4-53/Igkv4-61/Igkv4-58/H2-Aa/Igkv8-30/Il6/Igkv8-24/Igkv4-57/Igkv3-2/Igkv19-93/Igkv2-137/Igkv4-90/H2-Eb2/Igkv1-122/Il12a/Igkv8-21/Ighd/Trav15-1-dv6-1/Igkv12-44/Igkv13-85/Igkv6-14/Igkv4-72/Nlrp3/Igkv7-33/Trem3/Vpreb3/Igkv4-55/Igkv3-5/Igkv1-135/Igkv3-10/Igkv5-39/Igkv3-4/Igkv6-29/Igkv6-13/Igkv12-38/Igkv6-17/Igkv2-112/Igkv1-99/Il1b/Mmp7/Igkv11-125/Igkv6-20/Igkv4-57-1/Igkv4-54/Igkv9-123/Igkv1-133/H2-DMb2/Igkv3-3/Igkv8-34/Igkv4-63/Trem1/Igkv3-7/Igkv8-18"
"GO:0070661","BP","GO:0070661","leukocyte proliferation",338,-0.578863814393883,-1.96766024710317,2.24612532864363e-11,6.12144022899678e-08,5.70121776400282e-08,2467,"tags=38%, list=15%, signal=33%","Mif/Cd274/Jak3/Irf1/Cxcl12/Tnfrsf1b/Psmb10/Ctla4/Ptprc/Crtam/Tnfrsf4/Ripk3/Csf1/Tgfb1/Vsir/Icosl/Fcgr2b/Spn/Tlr9/Card11/Il7r/Bmp4/Il23r/Lgals9/Cd38/Vtcn1/Inpp5d/Rasal3/Myc/Itgam/Ido1/Wnt4/Sash3/Ighm/Lmo1/Igf1/Dock2/Rac2/Ikzf3/Vpreb1/Ccdc88b/Itgb2/Laptm5/Xcl1/Nckap1l/Coro1a/Cd59a/Lrrc32/Tyrobp/Csf1r/Lilrb4a/Btk/Pla2g2f/Ccr2/Cd28/Tnfsf13b/H2-DMb1/Cd180/Il33/Vcam1/Il34/Tnfrsf9/Cd55/Cd4/Csf2rb/Itgal/Foxp3/Lilrb4b/Tacr1/Cd300a/Cd37/Tnfsf18/Fgf10/Ebi3/Cd27/Clu/Il2ra/Cd55b/Siglecg/Grem1/Cxcr4/Cd80/Flt3/Cd40/Havcr2/Vsig4/Cd86/Lgals7/Tspan32/Cd209a/Il5/Cd244a/Aif1/Ccr7/Tnfrsf13b/Pdcd1lg2/Mzb1/Gpr183/Il12b/Tnfsf11/Ifng/Btla/Cr2/Cd22/Slamf1/Tnfrsf13c/Tarm1/Ocstamp/Flt3l/Cd79a/Cd19/Blk/Cd74/Il27/Gpnmb/Slfn1/H2-Aa/Il6/Trem2/Slamf6/Il12a/Il1a/Lst1/Cdkn2a/Ighd/Pla2g2d/Mpl/Il1b/Csf2/H2-DMb2"
"GO:0050900","BP","GO:0050900","leukocyte migration",356,-0.572838435133422,-1.95755635326281,5.85571827019036e-11,1.19690881442691e-07,1.11474384122519e-07,2307,"tags=36%, list=14%, signal=31%","Fcer1g/Crtam/Ripk3/B4galt1/Csf1/Plvap/Icam1/Tgfb1/Cd9/Sirpa/Cyp7b1/Cd47/Cmklr1/Fcgr3/Tbx21/Spn/Ffar2/Lgals9/Cd200r1/Itgb7/Mdk/Chst4/Cxcl16/Rhoh/Itgam/Gcnt1/Gpr15/Ccl7/Tnfaip6/Myo1g/Il16/Dapk2/Rac2/Ccl28/Trpv4/Itgb2/Xcl1/Nckap1l/Coro1a/Gata3/Myo1f/Cnr2/Csf1r/P2ry12/Ptafr/Ccr2/Selplg/Madcam1/Cx3cr1/F7/Ccl11/Ccr1/Gpr18/Il33/Vcam1/Il34/Itgal/Spp1/Pla2g7/Tacr1/Apod/Gpsm3/Cd300a/Adam8/Selp/Tnfsf18/Trpm2/Ccl3/Lbp/Fut7/Tlr2/Grem1/Tnfsf14/Fut9/Adora3/Bdkrb1/Spi1/Ccl22/Ccr3/Cxcl10/Cxcl14/Ccl8/Ccr6/Stap1/Mmp9/Aif1/Ccr7/Pgf/Slamf8/Gpr183/Jaml/Ccl2/Tnfsf11/Cxcl13/Ifng/Il17a/Sele/Cxcr5/Ccl24/Cxcl9/Saa2/Tnf/Slamf1/Ccl20/Cd74/Prtn3/Csf3r/Trem2/Gcsam/Ccl17/Il12a/Il1a/Calca/Trem3/Sell/Cxcl2/Retnlg/Il1b/Nlrp12/Trem1/Gp2/Cxcl3/Cxcl5/Cxcr2/Cxcl1/S100a9/S100a8"
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation",263,-0.594225884011036,-1.97605674361286,1.33162442053171e-10,2.17747225245345e-07,2.02799390697397e-07,2467,"tags=41%, list=15%, signal=36%","Mif/Cd274/Jak3/Irf1/Tnfrsf1b/Ctla4/Ptprc/Crtam/Tnfrsf4/Ripk3/Csf1/Tgfb1/Vsir/Icosl/Fcgr2b/Spn/Tlr9/Card11/Bmp4/Il23r/Lgals9/Cd38/Vtcn1/Inpp5d/Rasal3/Ido1/Sash3/Ighm/Lmo1/Igf1/Rac2/Ikzf3/Ccdc88b/Laptm5/Xcl1/Nckap1l/Coro1a/Cd59a/Lrrc32/Tyrobp/Csf1r/Lilrb4a/Btk/Pla2g2f/Ccr2/Cd28/Tnfsf13b/H2-DMb1/Il33/Vcam1/Il34/Tnfrsf9/Cd55/Cd4/Csf2rb/Itgal/Foxp3/Lilrb4b/Tacr1/Cd300a/Cd37/Tnfsf18/Fgf10/Il2ra/Cd55b/Siglecg/Grem1/Cd80/Cd40/Havcr2/Vsig4/Cd86/Lgals7/Tspan32/Cd209a/Il5/Cd244a/Aif1/Ccr7/Tnfrsf13b/Pdcd1lg2/Mzb1/Gpr183/Il12b/Ifng/Btla/Cd22/Slamf1/Tnfrsf13c/Tarm1/Ocstamp/Flt3l/Blk/Cd74/Il27/Gpnmb/Slfn1/H2-Aa/Il6/Il12a/Il1a/Lst1/Cdkn2a/Ighd/Pla2g2d/Mpl/Il1b/Csf2/H2-DMb2"
"GO:0050830","BP","GO:0050830","defense response to Gram-positive bacterium",99,-0.736254105306481,-2.20513861819344,2.83651010460756e-10,2.5027230373733e-07,2.33091699098239e-07,1496,"tags=42%, list=9%, signal=39%","Card9/Sprr2a3/Mpeg1/Myo1f/Rnase6/Gbp9/Gbp3/Ncf1/Klrk1/Gbp7/Lbp/Fgr/Lyz2/Tlr2/Camp/Tnfsf8/Havcr2/Il17f/Ifng/Il17a/Tnf/Lta/Ang2/Ang4/Ltf/Gbp4/Nlrp3/Lyz1/Reg3g/Il1b/Mmp7/Gbp11/Reg3b/Gbp10/Rnase2a/Defa35/Defa17/Gbp2b/Defa40/Ang3/Defa30/Defa24"
"GO:0032496","BP","GO:0032496","response to lipopolysaccharide",269,-0.59264497835128,-1.97457400685058,2.93024282539668e-10,2.5027230373733e-07,2.33091699098239e-07,1401,"tags=24%, list=9%, signal=22%","Cnr2/Ptafr/Lilrb4a/Cx3cr1/Cd68/Zc3h12a/Cd180/Cd55/Igtp/Klrk1/Lbp/Cd55b/Tfap2a/Cd80/Havcr2/Cd84/Cd86/Bdkrb1/Spi1/Cxcl10/Ankrd1/Scimp/Stap1/Ccr7/Pdcd1lg2/Il12b/Ccl2/Cxcl13/Ifng/Cxcl9/Cr2/Tnf/Aicda/Nuggc/Havcr1/Tnip3/Ang4/Igkj1/Ltf/Il6/Trem2/Il12a/Il1a/Nlrp3/Raet1a/Cxcl2/Wfdc21/Il1b/Nos2/Gbp10/Plscr2/Il36g/Slpi/Cxcl3/Acod1/Defa35/Defa17/Cxcl5/Cxcl1/Defa40/S100a9/S100a8/Defa30/Defa24"
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin",289,-0.586860779298115,-1.96273235259612,3.06106046645462e-10,2.5027230373733e-07,2.33091699098239e-07,1615,"tags=35%, list=10%, signal=32%","Sbno2/Cd300lb/Ednra/Tlr4/Ptger1/Shpk/Ttc39aos1/Irgm1/Mif/Cd274/Nfkbil1/Tnfrsf1b/F2r/Wdr83/Mrc1/Irf8/Mir27a/Tgfb1/Cited1/Sirpa/Fcgr2b/Tnfrsf11a/Ptgs2/Tlr9/Cmpk2/Il23r/Lgals9/Cxcl16/Trim12c/Ido1/Mir199a-1/B2m/Irf5/Ly86/Card9/Cnr2/Ptafr/Lilrb4a/Cx3cr1/Cd68/Zc3h12a/Cd180/Cd55/Igtp/Klrk1/Tap2/Lbp/Cd55b/Tlr2/Tfap2a/Cd80/Havcr2/Cd84/Cd86/Bdkrb1/Spi1/Cxcl10/Ankrd1/Scimp/Stap1/Ccr7/Pdcd1lg2/Il12b/Ccl2/Cxcl13/Ifng/Cxcl9/Tlr6/Cr2/Tnf/Aicda/Nuggc/Havcr1/Tnip3/Ang4/Igkj1/Ltf/Il6/Trem2/Il12a/Il1a/Nlrp3/Raet1a/Cxcl2/Wfdc21/Il1b/Nos2/Gbp10/Plscr2/Il36g/Slpi/Cxcl3/Acod1/Defa35/Defa17/Cxcl5/Cxcl1/Defa40/S100a9/S100a8/Defa30/Defa24"
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation",306,-0.5767702153602,-1.94417846130205,2.118038619157e-10,2.5027230373733e-07,2.33091699098239e-07,2467,"tags=39%, list=15%, signal=34%","Mif/Cd274/Jak3/Irf1/Cxcl12/Tnfrsf1b/Psmb10/Ctla4/Ptprc/Crtam/Tnfrsf4/Ripk3/Csf1/Tgfb1/Vsir/Icosl/Fcgr2b/Spn/Tlr9/Card11/Il7r/Bmp4/Il23r/Lgals9/Cd38/Vtcn1/Inpp5d/Rasal3/Myc/Itgam/Ido1/Wnt4/Sash3/Ighm/Lmo1/Igf1/Dock2/Rac2/Ikzf3/Vpreb1/Ccdc88b/Itgb2/Laptm5/Xcl1/Nckap1l/Coro1a/Cd59a/Lrrc32/Tyrobp/Csf1r/Lilrb4a/Btk/Pla2g2f/Ccr2/Cd28/Tnfsf13b/H2-DMb1/Cd180/Vcam1/Tnfrsf9/Cd55/Cd4/Itgal/Foxp3/Lilrb4b/Tacr1/Cd300a/Cd37/Tnfsf18/Fgf10/Ebi3/Cd27/Il2ra/Cd55b/Siglecg/Cxcr4/Cd80/Flt3/Cd40/Havcr2/Vsig4/Cd86/Lgals7/Tspan32/Cd209a/Il5/Cd244a/Aif1/Ccr7/Tnfrsf13b/Pdcd1lg2/Mzb1/Gpr183/Il12b/Ifng/Btla/Cr2/Cd22/Slamf1/Tnfrsf13c/Tarm1/Cd79a/Cd19/Blk/Cd74/Il27/Gpnmb/Slfn1/H2-Aa/Il6/Slamf6/Il12a/Il1a/Lst1/Cdkn2a/Ighd/Pla2g2d/Mpl/Il1b/H2-DMb2"
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion",382,-0.549509190435893,-1.8846952719433,2.50554963843177e-10,2.5027230373733e-07,2.33091699098239e-07,2435,"tags=37%, list=15%, signal=32%","Cd274/Jak3/Irf1/Cxcl12/Ctla4/Ptprc/Crtam/Nfkbid/Icam1/Tgfb1/Vsir/Sirpa/Cd47/Cd5/Icosl/Sox12/Tbx21/Spn/Card11/Il7r/Skap1/Bmp4/Il23r/Lgals9/Vtcn1/Tnfaip8l2/Socs1/Ildr2/Fermt3/Itgb7/Lag3/Mdk/Ets1/Rasal3/Chst4/Adora2a/Rhoh/Itgam/Gcnt1/Runx3/Ido1/Il4ra/Sash3/H2-Eb1/Zbtb16/B2m/Igf1/Rac2/Ccl28/Ccdc88b/Itgb2/Il2rg/Laptm5/Xcl1/Nckap1l/Coro1a/Cd59a/Gata3/Lrrc32/Ptafr/Lilrb4a/Pla2g2f/Ccr2/Selplg/Madcam1/Cx3cr1/Cd28/Tnfsf13b/Tespa1/H2-DMb1/Zc3h12a/Has2/Icos/Vcam1/Cd55/Cd4/Itgal/Foxp3/H2-Ab1/Lilrb4b/Lax1/Cd1d2/Cd300a/Cd37/Adam8/Selp/Tnfsf18/Cd27/Il2ra/Cd55b/Fut7/Sirpb1c/Tnfsf14/Sirpb1a/Fut9/Cd80/Havcr2/Vsig4/Cd86/Lgals7/Tspan32/Pik3r6/Cd244a/H2-DMa/Olr1/Tigit/Aif1/Ccr7/Sirpb1b/Pdcd1lg2/Il12b/Ccl2/Tnfsf11/Ifng/H2-Oa/Sele/Btla/Tnf/Slamf1/Tnfrsf13c/Lrg1/Tarm1/Cd74/H2-Ob/Gpnmb/Slfn1/H2-Aa/Il6/H2-Eb2/Il12a/Il1a/Calca/Cdkn2a/Pla2g2d/Nlrp3/Sell/Il1b/H2-DMb2/S100a9/S100a8"
